"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"cDC2","ETV3",100,0.733411432642024,0.851416965352449,0.881481481481481
"cDC2","ETV3",500,0.748335258550496,0.961759617682198,1
"cDC2","ETV3",1000,0.750260532141093,0.979967502986858,1
"cDC2","KLF9",100,0.814632425425386,0.893447892131763,1
"cDC2","KLF9",500,0.82606152116482,0.974846629117597,1
"cDC2","KLF9",1000,0.825282978030706,0.986490663935825,1
"cDC2","E2F7",100,0.791462069432915,0.847862638675542,0.881481481481481
"cDC2","E2F7",500,0.801893381943511,0.952673015873016,0.933333333333333
"cDC2","E2F7",1000,0.80261798894699,0.973945587984298,1
"cDC2","NR4A3",100,0.767958182536817,0.821965250042669,0.933333333333333
"cDC2","NR4A3",500,0.77800493156119,0.953701450759515,1
"cDC2","NR4A3",1000,0.780774805497673,0.97339982932241,1
"cDC2","EP300",100,0.745102664977308,0.854783410138249,0.8
"cDC2","EP300",500,0.755003479104319,0.958450657108721,0.874074074074074
"cDC2","EP300",1000,0.757161624041583,0.97613681515617,1
"cDC2","FOXN2",100,0.825929133032146,0.869706229732036,1
"cDC2","FOXN2",500,0.834497206692149,0.973494999146612,1
"cDC2","FOXN2",1000,0.83541084997177,0.985644785799624,1
"Naive_CD8_T","NEUROD1",100,0.662289772521861,0.861152059522744,0.77037037037037
"Naive_CD8_T","NEUROD1",500,0.675306669944068,0.96344284961157,0.8
"Naive_CD8_T","NEUROD1",1000,0.675815901798712,0.981644501473811,0.77037037037037
"Naive_CD8_T","MAFB",100,0.810118471268087,0.902073614302435,0.733333333333333
"Naive_CD8_T","MAFB",500,0.820621437420437,0.977570217407883,0.740740740740741
"Naive_CD8_T","MAFB",1000,0.822397185205739,0.986677011528553,0.822222222222222
"Naive_CD8_T","YBX1",100,0.840033262972286,0.862263800609418,0.753439153439153
"Naive_CD8_T","YBX1",500,0.842543691550725,0.96760367242597,0.881481481481481
"Naive_CD8_T","YBX1",1000,0.844224482633655,0.981496291433327,0.881481481481481
"Naive_CD8_T","XBP1",100,0.862381423040972,0.896448595651842,0.744973544973545
"Naive_CD8_T","XBP1",500,0.869405645876578,0.967890808656527,0.933333333333333
"Naive_CD8_T","XBP1",1000,0.869670303743727,0.980456168621249,1
"Naive_CD8_T","KLF3",100,0.870998285180461,0.906673762180909,0.844444444444444
