"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"cz_influenza","natural_killer_cell","ZNF281",1.9096716415277,0.011740020417105,1,1.9096716415277,FALSE,TRUE
"cz_influenza","natural_killer_cell","HESX1",2.03401392019697,-0.0348061854946751,-1,-2.03401392019697,TRUE,TRUE
"cz_influenza","natural_killer_cell","FOXP1",2.08477450366601,-0.0865330576715991,-1,-2.08477450366601,TRUE,TRUE
"cz_influenza","natural_killer_cell","KLF3",2.14189051881012,-0.185243576709477,-1,-2.14189051881012,TRUE,TRUE
"cz_influenza","natural_killer_cell","SIX5",2.15431398435499,-0.00587745168233436,-1,-2.15431398435499,TRUE,TRUE
"cz_influenza","natural_killer_cell","NFIX",2.17434001502519,-0.0616409744791153,-1,-2.17434001502519,TRUE,TRUE
"cz_influenza","natural_killer_cell","E2F6",2.18015617718847,0.0326040168489495,1,2.18015617718847,FALSE,TRUE
"cz_influenza","natural_killer_cell","IKZF1",2.19575812602469,0.176157002641078,1,2.19575812602469,FALSE,TRUE
"cz_influenza","natural_killer_cell","RFX2",2.21852263205891,-0.0130350499239874,-1,-2.21852263205891,TRUE,TRUE
"cz_influenza","natural_killer_cell","NFIA",2.26645771294136,-0.0360916302359249,-1,-2.26645771294136,TRUE,TRUE
"cz_influenza","natural_killer_cell","RORA",2.27155370633485,-0.286834068388969,-1,-2.27155370633485,TRUE,FALSE
"cz_influenza","natural_killer_cell","TFDP2",2.32073624151315,-0.210078419628977,-1,-2.32073624151315,TRUE,FALSE
"cz_influenza","natural_killer_cell","ITGB2",2.36950131264753,0.232388613942265,1,2.36950131264753,FALSE,FALSE
"cz_influenza","natural_killer_cell","FOSL2",2.37699603580105,-0.306440782041188,-1,-2.37699603580105,TRUE,FALSE
"cz_influenza","natural_killer_cell","SMAD3",2.4048514939457,-0.051750842438276,-1,-2.4048514939457,TRUE,TRUE
"cz_influenza","natural_killer_cell","POU5F1",2.4347845436323,0.086192493603804,1,2.4347845436323,FALSE,TRUE
"cz_influenza","natural_killer_cell","GATA3",2.47211943606143,-0.197357069543952,-1,-2.47211943606143,TRUE,TRUE
"cz_influenza","natural_killer_cell","SPI1",2.49199065655602,0.191268752930751,1,2.49199065655602,FALSE,TRUE
"cz_influenza","natural_killer_cell","POU3F1",2.54868006179537,0.0345655287457553,1,2.54868006179537,FALSE,TRUE
"cz_influenza","natural_killer_cell","CUX1",2.57912706112808,-0.0511029134322952,-1,-2.57912706112808,TRUE,TRUE
"cz_influenza","natural_killer_cell","RREB1",2.60329806837999,-0.078174995333112,-1,-2.60329806837999,TRUE,TRUE
"cz_influenza","natural_killer_cell","ESR2",2.620904862263,-0.085618553979306,-1,-2.620904862263,TRUE,TRUE
"cz_influenza","natural_killer_cell","MAFF",2.66293777677527,-0.334984838286876,-1,-2.66293777677527,TRUE,FALSE
"cz_influenza","natural_killer_cell","BDP1",2.66915492244088,-0.0448579776110214,-1,-2.66915492244088,TRUE,TRUE
"cz_influenza","natural_killer_cell","MYBL1",2.67744742845189,-0.353641681709997,-1,-2.67744742845189,TRUE,FALSE
"cz_influenza","natural_killer_cell","NFE2L2",2.72333854691141,-0.219809749128943,-1,-2.72333854691141,TRUE,FALSE
"cz_influenza","natural_killer_cell","ZBTB7A",2.72963381881909,-0.238149841332788,-1,-2.72963381881909,TRUE,FALSE
"cz_influenza","natural_killer_cell","NFE2",2.73116383049924,0.191320620200683,1,2.73116383049924,FALSE,TRUE
"cz_influenza","natural_killer_cell","SMAD1",2.73483549899835,-0.0936253103893057,-1,-2.73483549899835,TRUE,TRUE
"cz_influenza","natural_killer_cell","PBX3",2.78267119975081,0.00306885486938932,1,2.78267119975081,FALSE,TRUE
"cz_influenza","natural_killer_cell","MAF",2.7829925672166,0.202778969907584,1,2.7829925672166,FALSE,FALSE
"cz_influenza","natural_killer_cell","IRF9",2.78591570832906,0.0236948042464931,1,2.78591570832906,FALSE,TRUE
"cz_influenza","natural_killer_cell","IRF4",2.80651479554615,-0.0109762617285312,-1,-2.80651479554615,TRUE,TRUE
"cz_influenza","natural_killer_cell","SPIB",2.80723742955505,0.0286017626479797,1,2.80723742955505,FALSE,TRUE
"cz_influenza","natural_killer_cell","BCL3",2.80797043036019,-0.0925386323490164,-1,-2.80797043036019,TRUE,TRUE
"cz_influenza","natural_killer_cell","PAX9",2.81697098290347,-0.0320784706018716,-1,-2.81697098290347,TRUE,TRUE
